Ano;UF;UF_desc;Regiao;Pop;PIB_milhao
2010;AC;Acre;Norte;732793;8477
2010;AL;Alagoas;Nordeste;3120922;24575
2010;AP;Amapá;Norte;668689;8266
2010;AM;Amazonas;Norte;3480937;59779
2010;BA;Bahia;Nordeste;14021432;154340
2010;CE;Ceara;Nordeste;8448055;77865
2010;DF;Distrito Federal;Centro-Oeste;2562963;149906
2010;ES;Espírito Santo;Sudeste;3512672;82122
2010;GO;Goiás;Centro-Oeste;6004045;97576
2010;MA;Maranhão;Nordeste;6569683;45256
2010;MT;Mato Grosso;Centro-Oeste;3033991;59600
2010;MS;Mato Grosso do Sul;Centro-Oeste;2449341;43514
2010;MG;Minas Gerais;Sudeste;19595309;351381
2010;PA;Pará;Norte;7588078;77848
2010;PB;Paraíba;Nordeste;3766834;31947
2010;PR;Paraná;Sul;10439601;217290
2010;PE;Pernambuco;Nordeste;8796032;95187
2010;PI;Piauí;Nordeste;3119015;22060
2010;RJ;Rio de Janeiro;Sudeste;15993583;407123
2010;RN;Rio Grande do Norte;Nordeste;3168133;32339
2010;RS;Rio Grande do Sul;Sul;10695532;252483
2010;RO;Rondônia;Norte;1560501;23561
2010;RR;Roraima;Norte;451227;6341
2010;SC;Santa Catarina;Sul;6249682;152482
2010;SP;São Paulo;Sudeste;41252160;1247596
2010;SE;Sergipe;Nordeste;2068031;23932
2010;TO;Tocantins;Norte;1383453;17240
2018;AC;Acre;Norte;869265;15331
2018;AL;Alagoas;Nordeste;3322820;54413
2018;AP;Amapá;Norte;829494;16795
2018;AM;Amazonas;Norte;4080611;100109
2018;BA;Bahia;Nordeste;14812617;286240
2018;CE;Ceara;Nordeste;9075649;155904
2018;DF;Distrito Federal;Centro-Oeste;2974703;254817
2018;ES;Espírito Santo;Sudeste;3972388;137020
2018;GO;Goiás;Centro-Oeste;6921161;195682
2018;MA;Maranhão;Nordeste;7035055;98179
2018;MT;Mato Grosso;Centro-Oeste;3441998;137443
2018;MS;Mato Grosso do Sul;Centro-Oeste;2748023;106969
2018;MG;Minas Gerais;Sudeste;21040662;614876
2018;PA;Pará;Norte;8513497;161350
2018;PB;Paraíba;Nordeste;3996496;64374
2018;PR;Paraná;Sul;11348937;440029
2018;PE;Pernambuco;Nordeste;9496294;186352
2018;PI;Piauí;Nordeste;3264531;50378
2018;RJ;Rio de Janeiro;Sudeste;17159960;758859
2018;RN;Rio Grande do Norte;Nordeste;3479010;66970
2018;RS;Rio Grande do Sul;Sul;11329605;457294
2018;RO;Rondônia;Norte;1757589;44914
2018;RR;Roraima;Norte;576568;13370
2018;SC;Santa Catarina;Sul;7075494;298227
2018;SP;São Paulo;Sudeste;45538936;2210562
2018;SE;Sergipe;Nordeste;2278308;42018
2018;TO;Tocantins;Norte;1555229;35666
